Benchmark	Scheme	Parameters	Trial 1	Trial 2	Trial 3	Trial 4	Trial 5
data_cleaning	Weld->Python	p=loop-fusion infer-size short-circuit-booleans vectorize fix-iterate, s=2000, f=data/311-service-requests-sf=%d.csv	0.000124931335449	0.000139951705933	0.00017786026001	0.000152111053467	0.000200033187866
data_cleaning	Weld compile time	p=loop-fusion infer-size short-circuit-booleans vectorize fix-iterate, s=2000, f=data/311-service-requests-sf=%d.csv	0.217740058899	0.160468816757	0.162070989609	0.166226863861	0.260433912277
data_cleaning	Pandas	p=loop-fusion infer-size short-circuit-booleans vectorize fix-iterate, s=2000, f=data/311-service-requests-sf=%d.csv	57.1797	56.6929	56.5965	57.4033	57.1747
crime_index_simplified	Python->Weld	p=loop-fusion infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.757345914841	0.754976034164	0.752644777298	0.75790309906	0.756135940552
crime_index_simplified	Weld	p=loop-fusion infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	6.38378000259	6.17975687981	6.44177007675	6.03908205032	6.3101568222
crime_index_simplified	Grizzly	p=loop-fusion infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	58.5232	31.4828	56.3067	33.3331	55.6381
crime_index_simplified	Weld->Python	p=loop-fusion infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	8.48770141602e-05	5.69820404053e-05	5.57899475098e-05	5.41210174561e-05	5.79357147217e-05
crime_index_simplified	Weld compile time	p=loop-fusion infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.412104845047	0.458808898926	0.463399887085	0.471019029617	0.502784967422
crime_index_simplified	Pandas	p=loop-fusion infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	29.7645	20.9073	21.0459	20.8593	20.9719
crime_index_simplified	Python->Weld	p=infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.754884958267	0.753956079483	0.758504152298	0.764552116394	0.831205129623
crime_index_simplified	Weld	p=infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	51.9226119518	50.5094130039	61.2231791019	61.4683971405	52.0299429893
crime_index_simplified	Grizzly	p=infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	101.5947	92.2358	103.394	89.0054	100.3552
crime_index_simplified	Weld->Python	p=infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	8.10623168945e-05	8.48770141602e-05	8.20159912109e-05	8.60691070557e-05	0.000107049942017
crime_index_simplified	Weld compile time	p=infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.545480966568	0.562704086304	0.516815185547	0.509066104889	0.419969081879
crime_index_simplified	Pandas	p=infer-size short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	21.0528	20.4194	19.818	19.6598	21.0609
crime_index_simplified	Python->Weld	p=loop-fusion infer-size short-circuit-booleans predicate fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.75705909729	0.756831169128	0.758021831512	0.757482767105	0.818150997162
crime_index_simplified	Weld	p=loop-fusion infer-size short-circuit-booleans predicate fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	6.35739994049	6.46579194069	13.5534760952	6.17060494423	6.15803813934
crime_index_simplified	Grizzly	p=loop-fusion infer-size short-circuit-booleans predicate fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	53.7924	54.6487	61.7817	54.2931	65.1163
crime_index_simplified	Weld->Python	p=loop-fusion infer-size short-circuit-booleans predicate fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	5.60283660889e-05	5.60283660889e-05	6.69956207275e-05	5.79357147217e-05	8.29696655273e-05
crime_index_simplified	Weld compile time	p=loop-fusion infer-size short-circuit-booleans predicate fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.408163070679	0.428169965744	0.430107116699	0.351145029068	0.403748989105
crime_index_simplified	Pandas	p=loop-fusion infer-size short-circuit-booleans predicate fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	20.8258	20.937	21.152	21.1362	16.3517
crime_index_simplified	Python->Weld	p=loop-fusion short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.835707187653	0.757139205933	0.760242938995	0.759160041809	0.759560108185
crime_index_simplified	Weld	p=loop-fusion short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	12.4516899586	6.55715298653	6.32819199562	6.31753087044	6.57379317284
crime_index_simplified	Grizzly	p=loop-fusion short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	67.4678	61.733	61.2171	37.8653	57.901
crime_index_simplified	Weld->Python	p=loop-fusion short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	5.69820404053e-05	5.48362731934e-05	7.20024108887e-05	5.69820404053e-05	5.60283660889e-05
crime_index_simplified	Weld compile time	p=loop-fusion short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.374638080597	0.39276599884	0.394155025482	0.338668107986	0.319336891174
crime_index_simplified	Pandas	p=loop-fusion short-circuit-booleans predicate vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	24.4726	19.3767	20.9584	20.8583	20.932
crime_index_simplified	Python->Weld	p=loop-fusion infer-size short-circuit-booleans vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.831954956055	0.756976127625	0.845556020737	0.869764089584	0.755254983902
crime_index_simplified	Weld	p=loop-fusion infer-size short-circuit-booleans vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	6.38581204414	6.3106751442	6.2631380558	6.33399200439	6.4240219593
crime_index_simplified	Grizzly	p=loop-fusion infer-size short-circuit-booleans vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	56.2405	56.016	55.4083	35.5942	54.5913
crime_index_simplified	Weld->Python	p=loop-fusion infer-size short-circuit-booleans vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	5.69820404053e-05	5.41210174561e-05	5.72204589844e-05	8.32080841064e-05	5.60283660889e-05
crime_index_simplified	Weld compile time	p=loop-fusion infer-size short-circuit-booleans vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	0.365412950516	0.310479164124	0.30176615715	0.377820014954	0.292698860168
crime_index_simplified	Pandas	p=loop-fusion infer-size short-circuit-booleans vectorize fix-iterate, s=1500, n=20, f=data/us_cities_states_counties_sf=%d.csv	20.8408	20.3471	20.8017	20.8992	20.7224
